subbeat_idx,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,rms,spec_con0,spec_con1,spec_con2,spec_con3,spec_con4,spec_con5,zrc,lane0,lane1,lane2,lane3
69,-72.048416,149.027679,-45.995293,75.782867,-10.591078,0.681761,0.363077,11.367588,14.678943,24.399169,17.451362,17.163891,14.956312,0.032227,0,0,0,0
70,-96.111397,155.869812,-41.052986,64.849304,-12.978857,0.706520,0.199192,16.099835,6.867429,12.954588,14.647374,17.538307,13.770770,0.039062,0,1,0,0
71,-55.510082,155.607452,-59.091080,70.610153,-11.182327,0.768604,0.207555,15.881608,10.375303,16.174375,17.440489,13.665199,19.915806,0.082520,0,0,1,0
72,-68.558205,151.732178,-62.113621,62.699360,-12.736662,0.940109,0.214579,16.576369,10.658978,14.415921,13.718006,17.611266,15.964795,0.071777,1,1,0,0
73,-52.718922,149.322205,-57.215408,55.984138,-19.248318,0.889471,0.313734,16.871837,8.511150,12.325617,11.473429,19.744794,14.002318,0.034180,0,0,0,0
74,-94.600227,160.576447,-56.069435,53.563606,1.414389,0.717030,0.178972,18.337024,6.569097,11.574438,17.987983,16.087802,19.897823,0.054688,0,0,1,0
75,-85.969429,161.802826,-37.578484,73.201416,-10.383517,0.893900,0.258035,14.080948,8.599713,13.516682,20.098334,20.938508,17.336303,0.040039,0,1,0,0
76,-75.576836,147.353760,-46.249474,67.287750,-15.202033,0.537254,0.222044,10.007235,9.959800,13.601496,13.591763,15.928415,14.614950,0.062988,0,0,1,1
77,-41.802197,147.464844,-52.597298,67.213150,-21.011200,0.992461,0.354133,17.539817,8.855386,12.327857,19.960593,20.478595,15.121787,0.048340,0,0,0,0
78,-78.270676,162.541550,-44.569702,63.747505,-8.524432,0.682524,0.264364,18.355276,10.860613,14.165857,14.906241,20.130682,20.249466,0.044434,1,0,0,0
79,-69.236084,147.004913,-44.755989,66.747589,-18.207611,0.847056,0.232977,11.116769,12.462786,16.711945,17.775803,19.358113,14.681204,0.055176,0,0,1,0
80,-60.744373,144.298187,-36.772400,71.332191,-14.912540,0.824065,0.248527,8.828273,8.158081,12.816112,22.499996,24.407126,18.117579,0.056152,1,1,0,0
81,-68.362694,153.312515,-45.031952,74.720749,-17.835350,0.793973,0.321042,10.684094,8.596859,20.938779,16.845891,15.105742,15.169754,0.041504,0,0,0,0
82,-80.377495,158.634125,-42.118862,63.171730,-13.609129,0.788428,0.201168,15.171361,15.517501,9.161455,15.649171,15.944037,18.660007,0.060547,1,0,0,1
83,-62.354168,152.735382,-47.325592,74.433449,-8.300367,0.796620,0.257138,11.068107,8.250873,13.326148,14.739335,14.426175,18.601441,0.058105,0,1,0,0
84,-63.343166,153.295380,-37.469742,78.589493,-16.345274,0.972010,0.282077,10.466054,11.188003,7.064979,13.520135,11.890467,16.209428,0.044434,0,0,1,1
85,-62.493053,162.395050,-35.297112,76.392120,-22.194817,0.768023,0.302215,6.885693,8.001484,9.681283,13.459252,13.245302,12.318741,0.037598,0,0,0,0
86,-96.531898,172.480591,-33.403133,66.417641,-0.744746,0.917947,0.252563,23.499104,10.196098,10.973864,16.310108,18.775339,19.156833,0.030762,1,0,0,1
87,-67.990196,147.693329,-30.974808,66.845871,-10.792182,1.341339,0.331429,17.663882,10.886653,17.636869,11.402367,17.129791,16.817667,0.035156,0,0,1,0
88,-72.932495,142.143951,-36.493687,82.314163,-22.079237,0.974799,0.328508,20.081888,11.443981,14.041806,13.841839,12.283474,17.059140,0.034180,1,1,0,0
89,-38.175484,152.206696,-61.809486,66.607170,-13.721746,0.963490,0.360008,10.361513,9.267371,10.678123,10.823381,13.785998,18.725170,0.047852,0,0,0,0
90,-81.089432,165.546661,-52.051071,61.298172,-1.577339,0.596330,0.238330,15.418130,10.858060,14.368328,17.809939,30.454929,19.848706,0.044922,0,0,1,1
91,-78.106178,151.682068,-52.415848,71.636841,0.424497,1.074299,0.256985,18.636764,9.105224,14.187519,14.546383,19.363464,15.490074,0.041504,0,1,0,0
92,-59.722065,149.767075,-46.400070,75.392822,-16.044533,0.890017,0.314011,21.874612,9.924245,17.244546,10.351534,17.444782,14.094599,0.038086,1,0,0,1
93,-36.283173,156.545807,-47.365311,68.189293,-16.013893,0.955834,0.387478,11.888588,9.831653,18.068686,16.033105,20.041438,15.665374,0.039062,0,0,1,0
94,-42.377892,161.923676,-48.787636,72.046204,-23.454113,0.712821,0.318030,16.675547,10.541539,7.243390,10.995903,13.976235,14.365890,0.040039,1,1,0,0
95,-36.093987,164.134888,-46.736916,69.723679,-23.512463,0.830842,0.374765,16.164451,7.489297,11.854156,13.797998,13.343664,12.367094,0.033203,0,0,1,0
96,-40.009285,134.300629,-19.510544,58.999405,-19.852863,1.143351,0.281534,19.027705,7.461346,12.211083,11.980492,18.684804,16.181630,0.054688,1,0,0,1
97,-32.637760,127.683632,-46.027046,68.910995,-18.761314,0.939963,0.298526,10.673074,11.679217,11.527438,13.143257,13.233311,15.488071,0.078125,0,0,0,0
98,-38.726929,126.729919,-44.131535,71.176788,-22.037212,0.575280,0.261832,9.883766,8.449148,19.648142,15.740942,18.910915,13.125780,0.082031,0,0,1,1
99,-40.689175,123.129135,-30.862005,59.817837,-10.708467,0.514502,0.319152,11.526753,10.558759,17.313130,10.234494,17.915258,14.500548,0.051758,0,0,0,0
100,-55.933216,135.740540,-39.055313,65.893417,-18.602085,0.808532,0.297777,18.091738,13.229309,13.919103,13.236020,24.154708,15.293949,0.053711,1,1,0,0
101,-36.952545,128.417191,-32.784058,58.934483,-17.149632,0.828269,0.324659,16.251006,11.978412,13.547679,18.767280,13.707091,12.316034,0.041992,0,0,0,0
102,-77.624054,149.278488,-31.337795,69.985535,-15.109800,0.504618,0.270312,10.176115,12.804357,15.808828,13.902289,20.339492,14.500758,0.049805,0,0,1,1
103,-46.531727,150.247925,-57.902885,74.417191,-13.687744,0.576572,0.336173,9.763426,10.693473,9.874609,12.993662,16.959968,16.537669,0.050781,0,0,0,0
104,-49.072292,145.103516,-54.740753,68.455727,-24.123369,0.901182,0.250348,8.924229,9.301627,10.336931,17.163531,24.760411,13.543048,0.079590,0,0,0,0
105,-53.514095,133.879944,-47.834846,78.799240,-14.422867,0.823439,0.233279,12.544673,6.504147,14.865185,15.507989,24.619721,16.034708,0.082520,0,0,0,0
106,-66.255295,132.617493,-50.057034,76.164772,-14.187979,0.841269,0.230347,13.419332,9.914056,17.341981,14.152651,19.257401,17.819396,0.063477,1,1,0,0
107,-57.695072,155.369049,-52.131180,70.991592,-18.483704,0.673931,0.388410,16.238271,7.924619,17.875175,16.641313,19.183692,17.468927,0.044922,0,0,0,0
108,-83.825851,153.496017,-46.654488,68.800644,-16.775387,0.760708,0.216774,14.128186,9.146473,8.847494,19.151615,17.874380,16.338340,0.065430,0,1,1,0
109,-69.018356,156.497894,-48.662102,71.632690,-20.486641,0.633725,0.257269,14.258459,11.953805,6.696740,21.757465,18.266299,14.640656,0.059082,0,0,0,0
110,-94.686974,164.944870,-47.097122,59.572578,-17.173342,0.856476,0.288482,11.702105,16.018112,10.326083,16.936229,19.772149,19.436246,0.034668,0,0,1,1
111,-27.040586,126.028099,-39.709461,68.393311,-13.865389,1.318517,0.383660,14.938989,12.445595,8.090707,16.721184,19.555367,19.467220,0.046387,0,0,0,0
112,-65.820053,146.846497,-47.432373,65.181831,-26.090652,1.131688,0.206099,11.118944,7.104362,18.937658,14.519000,13.781438,19.289401,0.060547,0,0,0,0
113,-141.772766,123.163673,-25.667297,40.655090,-6.517089,0.345012,0.093516,11.666917,6.842196,12.614117,12.622731,21.709041,17.162194,0.078125,0,0,0,0
114,-221.596237,140.202637,-51.600655,40.928848,4.333567,0.550277,0.041904,14.491911,13.891168,13.198036,20.860939,18.640294,17.622430,0.059082,1,1,0,0
115,-230.845352,128.108246,-33.665348,57.173065,10.841499,0.404306,0.151420,14.377805,8.440811,16.123768,12.773770,22.718488,13.773463,0.035156,0,0,0,0
116,-173.036194,127.887177,-56.853168,48.434799,-15.887570,1.870593,0.059196,8.556923,10.931682,16.761302,11.188882,15.450372,17.274338,0.097168,1,1,0,1
117,-27.456272,144.275543,-54.295929,69.772484,-30.902718,0.720712,0.349080,13.219955,9.770297,19.023476,8.514459,20.010940,12.501531,0.061523,0,0,0,0
118,-38.025017,134.608032,-49.432533,78.798004,-22.833847,0.652346,0.249306,24.547561,8.661823,13.169227,17.415999,16.246121,17.904076,0.091797,0,0,0,0
119,-45.699215,128.200729,-38.713806,70.748337,-26.118029,1.063979,0.240669,13.899971,8.046218,11.653577,18.472285,20.904212,15.561009,0.078125,0,0,0,0
120,-49.826134,137.877701,-41.089348,74.539520,-21.812262,0.978454,0.251914,13.730693,7.273601,8.501518,16.112269,13.662564,10.236461,0.089844,0,0,0,0
121,-66.661728,140.663605,-43.678154,73.523743,-17.567535,1.047839,0.246047,13.100058,8.606433,9.656198,15.748217,13.312721,14.671916,0.064941,0,0,0,0
122,-76.465096,147.279495,-39.436970,68.514297,-23.290924,0.720855,0.208251,9.731287,5.823339,10.873858,14.215977,15.497310,14.223404,0.067871,0,0,0,0
