subbeat_idx,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,lane0,lane1,lane2,lane3
94,-71.833893,133.519547,-65.798096,13.461131,-34.018478,0.722285,0,0,0,1
95,-74.186440,139.790131,-58.223980,15.215929,-43.663971,1.048091,0,0,1,0
96,-61.756836,121.187943,-56.798264,3.980877,-42.050468,1.344798,1,1,0,0
97,-85.486885,165.164062,-56.970596,13.750103,-34.643341,0.639589,0,0,0,0
98,-93.752823,166.617188,-61.125061,8.071177,-35.057381,0.828192,0,0,0,1
99,-87.222183,161.243896,-48.600128,9.907544,-32.964077,1.261084,0,1,0,0
100,-89.088318,165.929138,-65.030258,4.270966,-37.268120,0.637004,0,0,0,1
101,-93.047218,144.100082,-65.108490,6.864760,-39.692436,0.609947,0,0,0,0
102,-81.096870,137.502991,-70.029648,4.818696,-40.947025,0.989490,0,1,1,0
103,-62.029434,151.994629,-53.577065,13.483915,-39.282829,0.699277,0,0,0,0
104,-70.964050,140.807419,-55.867447,14.030141,-42.464973,0.756574,1,0,0,0
105,-107.719383,153.331909,-63.134613,-0.992227,-29.493050,0.940238,0,0,1,0
106,-92.983749,150.426605,-53.954056,3.240404,-31.905664,1.104345,1,0,0,0
107,-84.531921,137.535309,-57.370667,6.802378,-37.798775,0.904615,0,0,0,0
108,-78.163773,126.002991,-54.201752,14.682162,-33.351303,0.856319,0,1,0,1
109,-72.824760,155.134048,-45.800629,12.964451,-27.354610,0.567427,0,0,0,0
110,-74.030441,159.674866,-52.061028,16.089384,-28.975986,0.687142,0,0,0,1
111,-77.885468,156.201233,-55.651688,17.627960,-32.094559,1.095739,0,0,0,0
112,-63.094418,140.114410,-48.483841,6.040363,-32.510780,1.071665,0,1,0,0
113,-108.766563,164.530014,-56.640152,12.304367,-27.705959,0.798678,0,0,0,0
114,-114.737762,159.474609,-59.235413,10.472788,-27.708897,0.902308,1,0,0,1
115,-99.487755,179.802826,-50.437019,5.620246,-26.737034,0.776534,0,0,1,0
116,-89.690048,171.493195,-52.738750,12.200660,-33.400795,0.848736,1,0,0,0
117,-64.304230,139.980469,-49.113815,8.094373,-31.746941,0.636855,0,0,0,0
118,-67.386581,141.803864,-55.863251,12.161669,-34.625961,1.267796,0,0,1,0
119,-76.734177,134.345184,-58.671059,15.498512,-36.618683,0.822335,0,0,0,0
120,-66.861267,133.326996,-58.618813,7.321981,-32.248619,1.425820,0,1,0,1
121,-80.149666,166.883713,-49.237495,21.611179,-26.760082,0.750852,0,0,0,0
122,-73.979210,154.501892,-52.107979,20.033188,-30.915588,0.853447,1,0,0,0
123,-73.633804,148.921097,-55.522720,9.010759,-40.893135,0.769057,0,0,0,0
124,-67.664421,140.447739,-49.120892,8.841402,-39.753124,0.948609,0,0,1,0
125,-83.534325,151.455673,-49.950394,7.449209,-27.253616,0.976831,0,0,0,0
126,-81.177040,139.629028,-66.924553,14.316076,-36.124626,1.251433,0,0,0,1
127,-72.933121,140.481506,-66.775864,10.764706,-34.838936,1.031287,0,0,0,0
128,-66.959602,126.396286,-56.352650,8.174465,-40.973507,0.819954,1,1,0,0
129,-84.293198,167.752319,-50.931297,11.540628,-31.104591,0.539476,0,0,0,0
130,-92.612030,165.366898,-52.721291,8.413481,-30.410067,0.988785,0,0,1,0
131,-95.313377,167.067413,-53.380798,6.925766,-31.609753,0.792557,0,0,0,0
132,-91.061714,164.502731,-54.380844,2.475700,-28.964001,0.827323,0,1,0,0
133,-104.366264,162.534882,-55.791847,5.945085,-27.728342,0.631265,0,0,0,0
134,-108.825645,158.314636,-64.791672,5.298274,-26.284124,1.147488,1,0,0,1
135,-100.930588,188.501648,-50.266609,14.527409,-15.331913,0.557568,0,0,0,0
136,-106.726799,170.366333,-52.679413,11.595852,-17.287821,0.653307,0,0,1,0
137,-95.657661,162.512802,-44.096081,6.694720,-21.538742,1.167621,0,0,0,0
138,-87.375603,151.082397,-53.980064,-4.115813,-22.398106,1.099344,0,0,0,1
139,-105.854881,157.696381,-54.854427,1.258360,-33.118202,0.515475,0,0,0,0
140,-86.982262,142.673279,-55.127708,-6.571356,-30.229183,0.842349,1,1,0,0
141,-73.338310,159.357681,-40.770840,4.322509,-13.480358,0.559073,0,0,0,0
142,-77.268074,154.207504,-35.902481,10.116537,-10.973550,1.240320,0,0,1,0
143,-71.547577,148.220398,-46.461960,2.680869,-26.344881,0.796392,0,1,0,0
144,-68.001442,144.723541,-54.402664,8.486006,-23.687967,1.026682,0,0,0,1
145,-67.666893,138.642120,-57.993340,-3.822509,-25.754967,0.826252,0,0,0,0
146,-79.856712,142.863571,-58.358437,1.615872,-36.409214,1.254845,1,0,1,0
147,-65.762428,165.537354,-52.725250,-4.795357,-22.631525,0.615634,0,0,0,0
148,-78.310104,161.801910,-49.263550,2.410787,-25.063875,1.158421,0,1,0,0
149,-68.366699,153.697144,-49.476547,-1.577204,-27.473251,0.439444,0,0,0,0
150,-66.998703,151.788757,-50.786785,-2.736222,-24.520123,0.917115,1,0,0,0
151,-90.645477,159.593201,-59.711361,7.899534,-29.932415,0.440211,0,0,0,0
152,-83.312843,155.767502,-66.034256,5.755500,-31.264650,0.937646,0,0,1,1
153,-72.917000,166.980087,-51.654369,-2.726303,-28.498634,0.585903,0,0,0,0
154,-88.224304,163.901505,-56.052216,8.454005,-27.884640,0.630576,0,1,0,0
155,-84.467667,151.969742,-66.771233,2.136400,-29.774696,0.860358,0,0,0,0
156,-81.760918,146.371338,-57.802326,-1.315587,-29.173157,0.792507,0,0,0,1
157,-88.579163,150.186737,-53.578175,-0.082732,-29.974827,0.518335,0,0,0,0
158,-80.839905,138.248230,-55.657242,-13.130317,-23.779150,1.475506,0,1,0,0
159,-85.305031,142.431595,-59.045975,-7.448837,-35.083363,0.602786,0,0,1,0
