subbeat_idx,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,lane0,lane1,lane2,lane3
112,-50.342953,179.485245,-54.161499,69.893326,-4.996895,0.984431,0,1,0,0
113,-36.382248,153.849335,-38.894569,62.633938,-12.372091,0.634301,1,0,1,0
114,-46.951382,184.160782,-56.506775,59.578396,-8.932976,0.845660,0,1,1,1
115,-26.774197,150.699097,-47.680603,64.181717,-18.170971,0.752098,1,0,0,1
116,-37.793411,151.381683,-29.964046,61.883568,-11.937504,0.653358,0,1,0,0
117,-40.839516,158.558990,-36.307106,54.642532,-3.962602,1.200270,1,0,0,1
118,-70.313759,199.454346,-48.826164,55.757587,-4.716310,0.894457,1,1,1,0
119,-2.481392,114.119865,-27.510805,69.070747,-33.952454,0.818137,0,0,0,0
120,-14.973673,124.507217,-28.867035,71.509819,-28.604263,0.871833,1,0,0,1
121,-36.227684,151.742523,-31.811687,58.351112,-12.201937,0.967186,0,0,1,0
122,-45.860298,179.208206,-50.965420,57.369205,0.247244,0.791963,1,1,0,1
123,-30.563469,152.776718,-56.262924,61.950886,-13.966789,0.572510,0,0,1,0
124,-19.066797,144.236115,-30.480320,63.687386,-11.789913,0.765653,0,1,0,0
125,-38.314526,164.024872,-31.811661,53.145241,-8.117926,0.923986,0,0,1,1
126,-60.537678,190.781494,-59.756676,52.412384,8.726151,0.948198,1,0,0,0
127,-47.841076,161.830627,-41.117470,61.125702,-5.436908,0.984452,0,1,0,1
128,-60.072002,183.155762,-49.232697,48.543980,0.448868,0.761344,0,0,1,0
129,-30.447239,149.376678,-37.706535,54.606682,-18.683811,0.680680,1,1,0,0
130,-62.284813,191.425690,-47.924927,54.488064,4.965501,0.798232,1,0,1,1
131,-34.668941,150.643478,-48.097546,60.370781,-24.753601,0.729038,0,1,0,1
132,-32.424282,148.033325,-34.092785,56.074890,-12.635766,0.829643,1,0,0,0
133,-31.796618,158.281204,-38.905983,55.606583,-10.442678,0.574938,0,1,0,1
134,-76.372482,177.740875,-44.499294,60.941509,12.359213,0.616902,1,0,1,1
135,-2.868852,98.340149,-18.133711,63.348419,-28.685493,0.665944,0,0,0,0
136,-7.273082,125.009201,-34.182240,65.533264,-38.910686,0.609949,0,1,1,0
137,-60.149361,166.150696,-44.404793,55.673424,1.059270,0.704576,1,0,0,0
138,-72.560265,181.055069,-42.963104,54.086079,8.061502,0.665664,0,1,1,1
139,-34.381088,151.703110,-39.855701,67.861244,-19.565804,0.964871,1,0,0,0
140,-41.353687,141.955521,-23.086109,63.086205,-10.286570,0.701734,0,1,0,0
141,-52.051620,155.049927,-28.649763,65.536674,3.334566,0.713187,1,0,0,1
142,-95.383499,196.088562,-44.746964,54.288345,14.839810,0.857109,0,0,1,0
143,-47.935944,151.134796,-26.951254,61.492569,-10.022779,1.020999,1,1,0,0
144,-66.410225,192.451324,-47.971027,47.148853,4.240924,0.856307,0,0,0,1
145,-42.146534,164.934387,-39.338074,51.918037,-8.424204,0.611686,0,1,1,0
146,-59.324238,193.421143,-53.369301,56.242954,2.443528,0.722161,1,1,0,1
147,-25.756474,154.304169,-46.142464,60.103130,-19.230919,1.036752,0,0,1,1
148,-29.815847,157.526550,-38.917542,54.390175,-14.714001,0.589672,0,1,0,0
